Country,Sex,Year,Age group,Mean height,Mean height lower 95% uncertaint,Mean height upper 95% uncertaint
Philippines,Girls,2019,19,154.144211,153.1668853,155.0928132
Poland,Girls,2019,19,165.7761352,164.5716094,166.950701
Portugal,Girls,2019,19,161.2271328,159.6629961,162.8025271
Puerto Rico,Girls,2019,19,163.0573217,159.9801641,166.1822307
Qatar,Girls,2019,19,160.7157302,158.8272159,162.6111145
Romania,Girls,2019,19,164.7308377,163.3204225,166.111695
Russian Federation,Girls,2019,19,164.5173719,163.0117215,166.0299837
Rwanda,Girls,2019,19,156.7193229,155.3515523,158.0343894
Saint Kitts and Nevis,Girls,2019,19,162.7824413,160.4505344,165.7370618
Saint Lucia,Girls,2019,19,165.5245375,162.771345,168.3241415
Saint Vincent and the Grenadines,Girls,2019,19,165.3026536,163.4477489,167.2360975
Samoa,Girls,2019,19,163.8159608,161.7714873,165.8521086
Sao Tome and Principe,Girls,2019,19,159.8104627,157.7349388,161.9552034
Saudi Arabia,Girls,2019,19,158.8377261,157.4347323,160.2322569
Senegal,Girls,2019,19,163.9240914,162.1744463,165.6890884
Serbia,Girls,2019,19,168.285067,166.7734043,169.8586379
Seychelles,Girls,2019,19,162.4655675,160.9731584,164.1933625
Sierra Leone,Girls,2019,19,157.335599,155.529082,159.1181613
Singapore,Girls,2019,19,161.3047179,159.5190582,163.1896158
Slovakia,Girls,2019,19,167.1227997,165.7151603,168.6073348
Slovenia,Girls,2019,19,167.1975653,166.7021172,167.7183445
Solomon Islands,Girls,2019,19,156.7888442,154.8770472,158.6698035
Somalia,Girls,2019,19,159.8572748,156.1899053,163.5405755
South Africa,Girls,2019,19,158.5787176,157.5920856,159.5646404
South Korea,Girls,2019,19,163.22541,162.57536,163.8423581
Spain,Girls,2019,19,162.027874,161.0482751,163.0566041
Sri Lanka,Girls,2019,19,155.8757964,154.2264043,157.5186909
Sudan,Girls,2019,19,160.3617147,158.4755072,162.3010096
Suriname,Girls,2019,19,162.2638615,158.7595962,165.8501832
Swaziland,Girls,2019,19,158.9213854,157.2270812,160.6882882
Sweden,Girls,2019,19,166.6739103,165.2855864,168.1738058
Switzerland,Girls,2019,19,164.3299732,161.9584551,166.8018832
Syrian Arab Republic,Girls,2019,19,159.3794885,151.1218375,168.5262661
Taiwan,Girls,2019,19,160.6953329,159.336744,162.1828902
Tajikistan,Girls,2019,19,158.1217805,156.8612641,159.3884959
Tanzania,Girls,2019,19,156.8863466,155.5073422,158.3473598
Thailand,Girls,2019,19,159.417654,158.1987781,160.6892826
Timor-Leste,Girls,2019,19,152.7123349,151.2546442,154.2222019
Togo,Girls,2019,19,159.1294047,157.5948528,160.712905
Tokelau,Girls,2019,19,166.0753995,163.9151498,168.2657985
Tonga,Girls,2019,19,166.0793945,164.3911221,167.795821
Trinidad and Tobago,Girls,2019,19,163.3798399,160.7425622,166.4399618
Tunisia,Girls,2019,19,161.6854548,159.8685045,163.5912168
Turkey,Girls,2019,19,161.80204,160.4667805,163.1257843
Turkmenistan,Girls,2019,19,162.8271298,161.3126599,164.3968632
Tuvalu,Girls,2019,19,163.5700611,161.5766605,165.5911598
Uganda,Girls,2019,19,158.5279616,157.3038781,159.7736147
Ukraine,Girls,2019,19,166.6226773,164.8217644,168.4917619
United Arab Emirates,Girls,2019,19,160.5303006,158.9667128,162.2086837
United Kingdom,Girls,2019,19,163.9391448,163.4605892,164.4446372
United States of America,Girls,2019,19,163.3118826,162.5069857,164.1066655
Uruguay,Girls,2019,19,161.5584634,160.0789709,163.212538
Uzbekistan,Girls,2019,19,160.2883173,158.8770884,161.7265171
Vanuatu,Girls,2019,19,160.4836304,157.8242368,163.1300377
Venezuela,Girls,2019,19,160.0370075,157.9674967,162.1531842
Viet Nam,Girls,2019,19,158.425687,157.3364694,159.5455856
Yemen,Girls,2019,19,154.7560774,153.1180779,156.3829185
Zambia,Girls,2019,19,157.3152177,156.0036298,158.6241079
Zimbabwe,Girls,2019,19,159.8490637,158.3820944,161.2839729
